config,repeat,enc_time_s,dec_time_s,insert_time_s,query+decrypt_time_s,storage_mb,crypto_cpu_time_s,crypto_cpu_util_pct,crypto_rss_delta_mb,insert_cpu_time_s,insert_cpu_util_pct,insert_rss_delta_mb,query_cpu_time_s,query_cpu_util_pct,query_rss_delta_mb
3DES,2.0,0.10790391699993052,0.09411252766828208,0.16917634700075723,0.0257756390007368,0.59375,0.20139181333333345,99.67679259175024,0.005208333333333333,0.13757833066666678,69.30241622821181,0.010416666666666666,0.02053852266666678,80.05339875452829,0.0
AES,2.0,0.03993533299944829,0.028328708664048463,0.07354520833663021,0.00952411099569872,0.5729166666666666,0.06773886666666666,99.23073497278683,0.10416666666666667,0.05028969066666659,48.12911915280142,0.046875,0.006777141333333329,71.19293045988285,0.005208333333333333
DES,2.0,0.04358731933461968,0.03353795800164031,0.091771944333838,0.010393097337024907,0.59375,0.0763323093333333,99.01019308688915,0.015625,0.061404458666666696,50.13673451220276,0.005208333333333333,0.008608517333333307,82.8021944447056,0.0
PLAIN,2.0,0.0005009023346550142,0.00030969466994671774,0.03967451366285483,0.005525472336254704,0.53125,0.0008696586666666617,107.21276581241311,0.010416666666666666,0.017419535999999996,25.2115005513586,0.13541666666666666,0.003222304000000009,53.76449779377043,0.11979166666666667
