config,baseline,repeat,enc_time_s,dec_time_s,insert_time_s,query+decrypt_time_s,storage_mb,crypto_cpu_time_s,crypto_cpu_util_pct,crypto_rss_delta_mb,insert_cpu_time_s,insert_cpu_util_pct,insert_rss_delta_mb,query_cpu_time_s,query_cpu_util_pct,query_rss_delta_mb
3DES,PLAIN,0.0,0.1074030146652755,0.09380283299833536,0.1295018333379024,0.020250166664482094,0.0625,0.20052215466666679,-7.535973220662868,-0.005208333333333333,0.12015879466666678,44.090915676853214,-0.12499999999999999,0.01731621866666677,26.288900960757857,-0.11979166666666667
AES,PLAIN,0.0,0.039434430664793275,0.028019013994101744,0.03387069467377538,0.003998638659444016,0.04166666666666663,0.066869208,-7.982030839626276,0.09375,0.032870154666666596,22.917618601442822,-0.08854166666666666,0.00355483733333332,17.428432666112414,-0.11458333333333334
DES,PLAIN,0.0,0.04308641699996466,0.0332282633316936,0.052097430670983165,0.004867625000770203,0.0625,0.07546265066666664,-8.202572725523964,0.005208333333333334,0.043984922666666704,24.925233960844157,-0.13020833333333331,0.0053862133333332975,29.037696650935175,-0.11979166666666667
PLAIN,PLAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
