config,repeat,enc_time_s,dec_time_s,insert_time_s,query+decrypt_time_s,storage_mb,crypto_cpu_time_s,crypto_cpu_util_pct,crypto_rss_delta_mb,insert_cpu_time_s,insert_cpu_util_pct,insert_rss_delta_mb,query_cpu_time_s,query_cpu_util_pct,query_rss_delta_mb
PLAIN,1,0.00027241600037086755,0.00013800000306218863,0.02845362499647308,0.003327625003294088,0.53125,0.00048200799999997823,114.6047299601086,0.03125,0.010052111999999946,12.669505049483549,0.125,0.0010565039999999581,31.72922901284324,0.171875
PLAIN,2,0.00022841600002720952,0.00015358399832621217,0.04776091600069776,0.005700791996787302,0.53125,0.0004009999999999847,102.89755345071568,0.0,0.023249584000000045,34.874267022668135,0.25,0.0036253760000000135,63.548280170477,0.078125
PLAIN,3,0.0010018750035669655,0.0006375000084517524,0.04280899999139365,0.00754800000868272,0.53125,0.0017259680000000222,104.13601402641505,0.0,0.018956911999999992,28.09072958192412,0.03125,0.004985032000000056,66.01598419799105,0.109375
AES,1,0.049572250005439855,0.030020499994861893,0.06604041700484231,0.01195108299725689,0.53125,0.07848994399999998,98.57160982006314,0.25,0.044523887999999956,47.19263130480489,0.046875,0.008540096000000053,71.45154015485286,0.015625
AES,2,0.034127207996789366,0.026031458997749723,0.08364425000036135,0.00723137499880977,0.59375,0.05962889599999999,99.07408955711757,0.03125,0.059971231999999874,50.854988174190474,0.03125,0.005213855999999906,72.08677188220899,0.0
AES,3,0.036106540996115655,0.028934166999533772,0.07095095800468698,0.009389874991029501,0.59375,0.06509776,100.04650554117983,0.03125,0.04637395199999994,46.339737979408916,0.0625,0.006577472000000029,70.04047934258665,0.0
DES,1,0.04951954199350439,0.03312375000678003,0.08934645800036378,0.009909415995934978,0.59375,0.08101784000000001,97.9948322101687,0.046875,0.05990566400000008,49.22670919034074,0.0,0.008170943999999958,82.44110478089814,0.0
DES,2,0.03083204101130832,0.0335878329933621,0.09388616601063404,0.010797209004522301,0.59375,0.06447089600000011,100.03061075572866,0.0,0.06178492800000002,49.293813932432364,0.015625,0.009013712000000007,83.4728558244214,0.0
DES,3,0.050410374999046326,0.03390229100477882,0.09208320899051614,0.010472667010617442,0.59375,0.08350819199999981,99.00513629477004,0.0,0.062522784,51.88968041383515,0.0,0.008640895999999954,82.49262272879727,0.0
3DES,1,0.10581891699985135,0.09593266600859351,0.17782433300453704,0.027490874999784864,0.59375,0.20090239999999993,99.56336460258409,0.015625,0.14146043200000014,68.62443240567289,0.03125,0.019400512000000036,70.5678452072449,0.0
3DES,2,0.11092070900485851,0.09339487500255927,0.16894849999516737,0.023905499998363666,0.59375,0.2036705600000004,99.66984838868154,0.0,0.14060308799999977,71.22685492129816,0.0,0.020852896000000065,87.21487832831401,0.0
3DES,3,0.10697212499508169,0.09301004199369345,0.1607562080025673,0.025930542004061863,0.59375,0.19960248000000003,99.79716478398507,0.0,0.1306714720000004,68.0559613576644,0.0,0.02136216000000024,82.37747272802596,0.0
